,x,V_blue,V_dashed,V_dotted
226,1.3000000000000007,1.990459147283092,2.2106693347627404,0.5469204636606978
227,1.3500000000000014,1.755909157588011,1.935904076066539,0.4782401887114341
228,1.4000000000000004,1.5390732113366425,1.6867685306270623,0.4159695871688654
229,1.450000000000001,1.340633644156128,1.4622966889966529,0.3598675079663872
230,1.5,1.1607057926179554,1.261304507387863,0.3096383311593239
231,1.5500000000000007,0.9989556733354013,1.082440832051274,0.26494470190500546
232,1.6000000000000014,0.8547073348106418,0.9242353370594341,0.22541951789562906
233,1.6500000000000004,0.7270363346936017,0.7851425541230315,0.19067693990042667
234,1.700000000000001,0.6148487362924362,0.6635813273154534,0.16032225863617958
235,1.75,0.516946419310087,0.5579692685625908,0.13396051193029537
236,1.8000000000000007,0.43208005589923637,0.46675201302687525,0.11120380195869181
237,1.8500000000000014,0.3589912419022898,0.3884272707680159,0.09167731165410595
238,1.9000000000000004,0.29644522939760165,0.3215638381202493,0.07502406114478202
239,1.950000000000001,0.24325559708470745,0.2648158669312241,0.06090847875981729
240,2.0,0.19830207126163302,0.21693279181758549,0.04901888663993337
241,2.0500000000000007,0.16054259123266146,0.17676538610517337,0.03906901862065074
242,2.1000000000000014,0.12902060335437593,0.1432684585642693,0.030798698415475494
243,2.1500000000000004,0.10286846652442794,0.11550071874972918,0.023973810051557416
244,2.200000000000001,0.08130775646581956,0.09262233262076709,0.018385690976511104
245,2.25,0.06364716486297439,0.07389066633829462,0.013850072310875615
246,2.3000000000000007,0.049278601406564704,0.058654678938177475,0.010205681420803773
247,2.3500000000000014,0.03767202210110199,0.04634837798917613,0.007312610338172195
248,2.4000000000000004,0.02836942636739792,0.036483700047377284,0.005050540481064183
249,2.450000000000001,0.020978389410676535,0.028643122934778494,0.0033169004315409248
250,2.5,0.015165425953520995,0.022472262288878674,0.002025019882414003
251,2.5500000000000007,0.010649417557255347,0.017672652588827796,0.0011023298044079027
252,2.6000000000000014,0.007195278954168494,0.013994864553065691,0.0004886468074446356
253,2.6500000000000004,0.004607989390461142,0.011232067505863188,0.00013456884540403113
254,2.700000000000001,0.002727072963148558,0.009214107655327031,0.0
255,2.75,0.0014215771001904187,0.00780214145730974,5.281413738289096e-05
256,2.8000000000000007,0.0005855702525972006,0.0068838372901356415,0.000267660743696114
257,2.8500000000000014,0.00013415795674465159,0.0063691382269888365,0.0006249111362980193
258,2.9000000000000004,0.0,0.006186563289315684,0.0011097393964875444
259,2.950000000000001,0.00013029974593337101,0.006280013611268573,0.0017113296312402178
260,3.0,0.00048422899933520114,0.006606042803337471,0.0024221993859909106
261,3.0500000000000007,0.0010307473919288768,0.007131546823334713,0.0032376280355051815
