,time,survival_unbiased,survival_biased,survival_fitted
4885,0.5444379653760001,,-0.00016821783754815387,-0.00042994552085722946
5223,0.5480354314720001,,-0.00016883633769153848,-0.00043037639302430917
5364,0.5490486302519999,,-0.00016945483821746574,-0.0004304977448709621
6032,0.55514771824,,-0.00017007333912582513,-0.0004312282388321204
4177,0.5552568373519999,,-0.00017069184041683914,-0.000431241308138961
5477,0.5561851238159999,,-0.00017131034209028618,-0.00043135248995130915
3366,0.5595125631479999,,-0.00017192884414638884,-0.0004317510207386873
3746,0.5600699063519999,,-0.0001725473465849255,-0.0004318177743001404
2062,0.560605026348,,-0.00017316584940611868,-0.0004318818661654065
365,0.565533722754,,-0.00017378435260985783,-0.00043247218113840727
527,0.567308689922,,-0.0001744028561960324,-0.00043268477075836834
6994,0.57017821575,,-0.00017502136016486495,-0.00043302845678042047
1280,0.5741100366199999,,-0.00017563986451613384,-0.00043349937495827624
76,0.5768901658019999,,-0.00017625836925006164,-0.0004338323538532662
1788,0.577755352854,,-0.00017687687436642675,-0.00043393597818496986
827,0.5808094721399999,,-0.0001774953798654517,-0.00043430177315291745
1046,0.58105738595,,-0.00017811388574702597,-0.0004343314660416656
7062,0.58171720122,,-0.00017873239201103894,-0.0004344104927865106
1167,0.5820149212800001,,-0.00017935089865771318,-0.00043444615102039303
2614,0.5835968499360001,,-0.0001799694056868271,-0.00043463562022176625
2012,0.5854658437839999,,-0.00018058791309860322,-0.0004348594715126628
3625,0.586792199508,,-0.00018120642089293102,-0.0004350183304844691
3851,0.59099233052,,-0.0001818249290696999,-0.00043552138444046646
4798,0.5934801663100001,,-0.0001824434376291324,-0.00043581935505911047
1349,0.5956218600000001,,-0.00018306194657100698,-0.00043607586788697487
852,0.595663774,,-0.00018368045589554612,-0.00043608088796931314
4764,0.5978191957619999,,-0.00018429896560252825,-0.0004363390450223
6857,0.601251665756,,-0.0001849174756921759,-0.000436750155438711
3199,0.601902486328,,-0.00018553598616437853,-0.0004368281048794436
