,time,survival_unbiased,survival_biased
172,96.80085799999999,-0.017451393613755858,
173,97.357754,-0.017553159247589156,
174,97.4688,-0.01765493523872071,
175,97.49772800000001,-0.017756721589258985,
176,98.07557000000001,-0.017858518301313193,
8344,98.27055111600001,,-0.010087849090862785
8345,98.47041974,,-0.010189243260784806
8346,99.170524726,,-0.010290647712527157
177,100.47522599999999,-0.01796032537699287,
178,100.628056,-0.018062142818408518,
8347,100.94066915,,-0.010392062448175183
8348,101.6831936,,-0.010493487469814978
8349,101.69857619999999,,-0.010594922779533151
179,101.78898600000001,-0.01816397062767118,
8350,101.801124256,,-0.010696368379417289
8351,101.94401315,,-0.010797824271555276
180,101.988254,-0.01826580880689254,
8352,102.09720429,,-0.010899290458035631
8353,102.23498123200001,,-0.011000766940947844
181,102.442148,-0.01836765735818493,
182,102.86542999999999,-0.018469516283661322,
183,103.162282,-0.018571385585435342,
184,103.507394,-0.018673265265621256,
185,103.66363199999999,-0.01877515532633398,
186,103.851318,-0.018877055769689184,
187,104.022452,-0.018978966597802856,
188,104.408684,-0.019080887812791953,
8354,104.433873804,,-0.01110225372238171
189,104.676334,-0.019182819416773987,
190,104.815792,-0.0192847614118671,
8355,105.233749962,,-0.011203750804427766
8356,105.571401372,,-0.011305258189177075
8357,106.550520132,,-0.01140677587872168
191,106.71306,-0.019386713800190095,
192,106.780182,-0.019488676583862413,
193,107.387224,-0.01959064976500415,
8358,107.56409348,,-0.011508303875153912
194,107.79155800000001,-0.019692633345736045,
195,108.71749000000001,-0.019794627328179493,
8359,108.9645321,,-0.011609842180566866
196,109.061476,-0.019896631714456645,
197,109.55839599999999,-0.01999864650668997,
198,109.987148,-0.02010067170700291,
199,110.261628,-0.020202707317519466,
200,110.49412,-0.020304753340364273,
8360,110.7531059,,-0.011711390797054149
201,111.94854,-0.02040680977766262,
8361,113.83404483,,-0.011812949726710353
202,114.058152,-0.020508876631540447,
203,114.37180599999999,-0.02061095390412435,
204,114.959384,-0.02071304159754157,
8362,115.107762042,,-0.011914518971630365
205,115.799832,-0.020815139713920003,
206,116.024602,-0.020917248255388307,
207,116.27409,-0.021019367224075457,
208,117.07718799999999,-0.021121496622111418,
209,117.382576,-0.021223636451626688,
210,117.519656,-0.02132578671475243,
211,117.588674,-0.02142794741362045,
212,117.59633199999999,-0.021530118550363214,
8363,117.88440861600002,,-0.012016098533909827
213,118.338784,-0.02163230012711384,
8364,119.24357484800001,,-0.012117688415644904
214,119.990892,-0.021734492146006094,
215,119.99841,-0.021836694609174406,
216,120.14463400000001,-0.021938907518753964,
217,120.224834,-0.02204113087688028,
8365,120.51751695600001,,-0.012219288618932738
218,120.941424,-0.022143364685689858,
8366,122.55596150400001,,-0.012320899145870774
219,123.098502,-0.022245608947319737,
8367,124.212727952,,-0.012422519998557209
8368,124.381525684,,-0.012524151179090766
220,124.877972,-0.022347863663907622,
221,125.15991199999999,-0.02245012883759187,
222,125.73917999999999,-0.02255240447051149,
223,127.16928,-0.02265469056480615,
224,128.076768,-0.02275698712261618,
8369,128.774016432,,-0.012625792689571144
8370,129.15381556,,-0.012727444532098349
8371,130.10685453,,-0.012829106708773026
225,130.233208,-0.022859294146082558,
8372,130.242883628,,-0.012930779221696794
8373,130.51205713,,-0.013032462072971584
226,131.12317199999998,-0.02296161163734704,
8374,131.78712556800002,,-0.013134155264700072
227,131.793078,-0.023063939598551693,
228,131.826504,-0.023166278031839585,
229,132.37094,-0.02326862693935433,
230,132.954582,-0.023370986323240202,
231,134.32453400000003,-0.023473356185642127,
8375,134.60596492,,-0.013235858798985468
232,134.714734,-0.02357573652870569,
233,134.796618,-0.023678127354577146,
8376,134.89661758399998,,-0.01333757267793196
8377,135.54557218399998,,-0.01343929690364404
234,135.736136,-0.02378052866540339,
235,136.080114,-0.023882940463332003,
8378,136.33794568800002,,-0.013541031478226957
236,139.176706,-0.023985362750511312,
8379,139.19780249599998,,-0.01364277640378649
237,139.865296,-0.024087795529089982,
238,140.259528,-0.02419023880121767,
239,140.70515799999998,-0.024292692569044587,
240,141.087482,-0.0243951568347216,
241,141.50664,-0.024497631600400235,
242,141.820624,-0.02460011686823269,
243,142.443094,-0.02470261264037181,
8380,142.6192107,,-0.013744531682429393
244,144.138554,-0.024805118918971115,
245,144.570786,-0.02490763570618478,
246,144.82249,-0.025010163004167762,
247,145.005736,-0.02511270081507533,
248,145.671094,-0.025215249141063763,
249,146.03087599999998,-0.025317807984289897,
250,146.104118,-0.025420377346911223,
251,147.15589000000003,-0.025522957231085892,
252,147.922326,-0.02562554763897273,
253,147.956524,-0.025728148572731223,
254,148.253112,-0.025830760034521515,
255,148.269774,-0.02593338202650443,
256,148.41003,-0.02603601455084144,
8381,149.158324356,,-0.013846297316262732
